CLI,UTSOU,CPACK,CPRO,ETA,DDSOU,DFSOU
43576058,000384    ,      ,201,VA,2024-01-04,2024-01-04
43575910,000527    ,000022,   ,VA,2024-01-04,2025-02-12
43575910,000527    ,      ,640,VA,2024-01-04,2025-02-12
43576058,000384    ,      ,665,VA,2024-01-04,2028-12-31
43575910,000527    ,      ,210,VA,2024-01-04,2025-02-12
43576133,010108    ,      ,222,VA,2024-01-04,
43575910,000527    ,      ,613,VA,2024-01-04,2025-01-04
43576058,000384    ,000077,665,VA,2024-01-04,2029-01-31
43575910,000527    ,      ,213,VA,2024-01-04,2025-02-12
43576058,000384    ,000077,210,VA,2024-01-04,
43576058,000384    ,000077,   ,VA,2024-01-04,
43570781,000677    ,      ,251,VA,2024-01-04,
43570781,000677    ,      ,251,VA,2024-01-04,
43576207,010112    ,000011,222,VA,2024-01-04,
43576281,010177    ,000077,201,VA,2024-01-04,
43576430,010125    ,      ,222,VA,2024-01-04,2025-01-17
43576430,010125    ,      ,201,VA,2024-01-04,2025-01-16
43576430,010125    ,      ,650,VA,2024-01-04,2024-07-09
43576430,010125    ,      ,640,VA,2024-01-04,2025-01-15
43576430,010125    ,      ,210,VA,2024-01-04,2024-07-01
43576430,010125    ,      ,213,VA,2024-01-04,2025-01-15
43576430,010125    ,000022,   ,VA,2024-01-04,2024-07-09
43576356,010208    ,      ,222,VA,2024-01-04,2024-06-28
43576504,000534    ,100002,221,VA,2024-01-04,
43576579,010154    ,000011,222,VA,2024-01-04,
43576653,000485    ,000011,222,VA,2024-01-04,
43576802,000652    ,000022,222,VA,2024-01-04,
43576876,000656    ,000077,201,VA,2024-01-04,
43576876,000656    ,000077,210,VA,2024-01-04,2027-12-31
43576876,000656    ,000077,665,VA,2024-01-04,2028-12-31
43576876,000656    ,000077,   ,VA,2024-01-04,
43577025,000300    ,100001,221,VA,2024-01-04,
43576950,000373    ,      ,201,VA,2024-01-04,2024-05-27
43577173,000529    ,000011,222,VA,2024-01-04,
43577099,000691    ,000077,201,VA,2024-01-04,
43577322,010113    ,      ,201,VA,2024-01-04,
43577248,010100    ,      ,221,VA,2024-01-04,2025-02-27
43577173,000529    ,000011,201,VA,2024-01-04,
43577173,000529    ,000011,490,VA,2024-01-04,2026-01-25
43577173,000529    ,000011,653,VA,2024-01-04,2027-12-31
43577173,000529    ,000011,643,VA,2024-01-04,2025-01-04
43577173,000529    ,000011,210,VA,2024-01-04,2026-01-04
43577173,000529    ,      ,613,AT,2024-01-04,
43577396,010113    ,      ,201,VA,2024-01-04,
43577471,010108    ,000011,222,VA,2024-01-04,
43577173,000529    ,000011,213,VA,2024-01-04,
43577173,000529    ,000011,   ,VA,2024-01-04,
43577545,010110    ,100001,221,VA,2024-01-04,
43577619,010099    ,000033,201,VA,2024-01-04,
43577694,010099    ,100001,221,VA,2024-01-04,
43577768,010208    ,      ,201,VA,2024-01-05,
43577842,010126    ,      ,201,VA,2024-01-05,2024-01-16
43577917,000625    ,      ,201,VA,2024-01-05,
43577991,010146    ,000011,222,VA,2024-01-05,
43577991,010146    ,000011,201,VA,2024-01-05,
43577991,010146    ,000011,490,VA,2024-01-05,2024-03-05
43577991,010146    ,000011,653,VA,2024-01-05,2027-12-31
43577991,010146    ,000011,643,VA,2024-01-05,2025-01-05
43577991,010146    ,000011,210,VA,2024-01-05,
43578065,000626    ,000011,222,VA,2024-01-05,
43577991,010146    ,000011,613,VA,2024-01-05,2025-01-05
43577991,010146    ,000011,213,VA,2024-01-05,
43577991,010146    ,000011,   ,VA,2024-01-05,
43578437,000657    ,      ,222,VA,2024-01-05,
43578214,010249    ,      ,222,VA,2024-01-05,
43578288,010113    ,      ,201,VA,2024-01-05,
43578363,010113    ,      ,201,VA,2024-01-05,
43578511,010146    ,000033,222,VA,2024-01-05,
43578511,010146    ,000033,201,VA,2024-01-05,
43578511,010146    ,      ,490,VA,2024-01-05,2024-03-05
43578511,010146    ,      ,651,VA,2024-01-05,2024-08-19
43578511,010146    ,000033,641,VA,2024-01-05,2025-01-05
43578511,010146    ,000033,210,VA,2024-01-05,
43578660,010100    ,      ,201,VA,2024-01-05,
43578511,010146    ,      ,613,VA,2024-01-05,2025-01-05
43578511,010146    ,000033,213,VA,2024-01-05,
43578511,010146    ,000033,   ,VA,2024-01-05,
43578586,000682    ,      ,221,VA,2024-01-05,
43578734,000554    ,      ,222,VA,2024-01-05,
43578809,010218    ,000011,222,VA,2024-01-05,
43578883,000384    ,000022,222,VA,2024-01-05,
43578957,010100    ,      ,201,VA,2024-01-05,
43579032,000455    ,      ,201,VA,2024-01-05,
43579106,000455    ,      ,201,VA,2024-01-05,
43579180,000630    ,000077,201,VA,2024-01-05,
43579180,000630    ,000077,665,VA,2024-01-05,2028-12-31
43579180,000630    ,000077,210,VA,2024-01-05,
43579180,000630    ,000077,   ,VA,2024-01-05,
43579255,000459    ,000011,222,VA,2024-01-05,
43579329,000459    ,000011,222,VA,2024-01-05,
43579403,010109    ,000022,222,VA,2024-01-05,
43579403,010109    ,000022,201,VA,2024-01-05,
43579403,010109    ,000022,650,VA,2024-01-05,2027-12-31
43579403,010109    ,000022,640,VA,2024-01-05,2025-01-05
43579403,010109    ,000022,210,VA,2024-01-05,
43579403,010109    ,000022,213,VA,2024-01-05,
43579403,010109    ,000022,   ,VA,2024-01-05,
43579478,000486    ,      ,201,VA,2024-01-05,
43579552,010109    ,100001,221,VA,2024-01-05,
43579552,010109    ,100001,650,VA,2024-01-05,2027-12-31
43579552,010109    ,100001,640,VA,2024-01-05,2025-01-05
43579552,010109    ,100001,212,VA,2024-01-05,
43579552,010109    ,100001,217,VA,2024-01-05,
43579552,010109    ,100001,   ,VA,2024-01-05,
43579626,000594    ,      ,201,VA,2024-01-05,
43579701,000618    ,      ,201,VA,2024-01-05,
43579775,000473    ,      ,201,VA,2024-01-05,
43579924,010125    ,000011,222,VA,2024-01-05,
43579998,000594    ,      ,221,VA,2024-01-05,
43580147,000436    ,      ,222,VA,2024-01-05,2024-04-01
43580221,000652    ,000011,222,VA,2024-01-05,
43575835,000475    ,000077,665,VA,2024-01-05,2028-12-31
43575835,000475    ,000077,210,VA,2024-01-05,
43575835,000475    ,000077,   ,VA,2024-01-05,
43580295,000384    ,000077,201,VA,2024-01-05,
43580370,000665    ,      ,222,VA,2024-01-05,
43580444,010247    ,      ,201,VA,2024-01-05,
43580667,000551    ,      ,222,VA,2024-01-05,
43580667,000551    ,      ,201,VA,2024-01-05,
43580593,000671    ,100002,221,VA,2024-01-05,
43580667,000551    ,      ,653,VA,2024-01-05,2024-09-30
43580667,000551    ,      ,643,VA,2024-01-05,2024-09-30
43580667,000551    ,      ,210,VA,2024-01-05,2024-09-30
43580593,000671    ,      ,221,VA,2024-01-05,
43580667,000551    ,      ,213,VA,2024-01-05,2024-09-30
43580667,000551    ,000011,   ,VA,2024-01-05,2024-09-30
43580593,000671    ,      ,251,VA,2024-01-05,
43580593,000671    ,      ,251,VA,2024-01-05,
43580518,000671    ,000033,201,VA,2024-01-05,
43580518,000671    ,000033,222,VA,2024-01-05,
43580518,000671    ,000033,651,VA,2024-01-05,2027-12-31
43580741,000418    ,      ,221,VA,2024-01-05,2025-02-17
43580518,000671    ,000033,641,VA,2024-01-05,2025-01-05
43580518,000671    ,000033,210,VA,2024-01-05,
43580518,000671    ,000033,213,VA,2024-01-05,
43580518,000671    ,000033,   ,VA,2024-01-05,
43580816,010146    ,000011,222,VA,2024-01-05,
