CLI,SEXT,DNA,AGE,TCLI,GES,DOU,UTIC,age,client_seniority_days,age_group,total_products,active_products,active_products_ratio,avg_product_duration,std_product_duration,max_product_duration,unique_packs,total_accounts,closed_accounts,closed_accounts_ratio,unique_account_types,Segment Client,Actif/Inactif,District
43573159,M,1980-11-18,2626,1,261,2024-01-03,000630    ,44.662559890485966,562,35-45,6.0,7.0,1.0,133.83333333333334,19.18766965180156,173.0,2.0,3.0,1.0,0.3333333333333333,3.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573159,M,1980-11-18,2626,1,261,2024-01-03,000630    ,44.662559890485966,562,35-45,6.0,7.0,1.0,133.83333333333334,19.18766965180156,173.0,2.0,3.0,1.0,0.3333333333333333,3.0,ADULTES GRAND PUBLIC,INACTIF,District Grand Sud
43573234, ,,1414,3,141,2024-01-03,010116    ,0.0,562,,6.0,7.0,1.0,909.5,768.6250711497771,1453.0,2.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573308, ,,2626,3,261,2024-01-03,000630    ,0.0,562,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573308, ,,2626,3,261,2024-01-03,000630    ,0.0,562,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NON AFFECTE,NON AFFECTE,District Grand Sud
43573382,F,1992-10-18,404,1,43,2024-01-03,000601    ,32.747433264887064,562,25-35,7.0,8.0,1.0,379.1666666666667,706.3518717089003,1821.0,2.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573457,M,1997-12-10,303,1,31,2024-01-03,000618    ,27.603011635865844,562,25-35,6.0,7.0,1.0,912.0,772.1606050557099,1458.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573531,M,2070-06-10,505,1,51,2024-01-03,000441    ,-44.8952772073922,562,,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573605,F,1998-04-12,3232,1,322,2024-01-03,000384    ,27.266255989048595,562,25-35,8.0,9.0,1.0,730.0,630.4664939550713,1458.0,2.0,8.0,0.0,0.0,3.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573605,F,1998-04-12,3232,1,322,2024-01-03,000384    ,27.266255989048595,562,25-35,8.0,9.0,1.0,730.0,630.4664939550713,1458.0,2.0,8.0,0.0,0.0,3.0,ADULTES HAUTE GAMME,ACTIF,District Tunis Sud
43573680,M,2074-07-26,1414,1,142,2024-01-03,000440    ,-49.021218343600275,562,,6.0,7.0,1.0,344.0,0.0,344.0,2.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573754,M,1977-06-04,606,1,63,2024-01-03,000652    ,48.120465434633815,562,45-55,12.0,13.0,1.0,1629.2857142857142,1363.3953589336825,3652.0,2.0,9.0,0.0,0.0,3.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573828,M,2064-08-18,2323,1,231,2024-01-03,000534    ,-39.08555783709788,562,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573903,F,2000-12-12,2121,1,213,2024-01-03,000475    ,24.5968514715948,562,<25,2.0,2.0,1.0,69.0,0.0,69.0,1.0,2.0,1.0,0.5,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573977,M,1984-09-27,3333,1,331,2024-01-03,010110    ,40.80492813141684,562,35-45,8.0,10.0,1.0,463.25,674.403625435095,1445.0,2.0,9.0,0.0,0.0,3.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43573977,M,1984-09-27,3333,1,331,2024-01-03,010110    ,40.80492813141684,562,35-45,8.0,10.0,1.0,463.25,674.403625435095,1445.0,2.0,9.0,0.0,0.0,3.0,ADULTES HAUTE GAMME,ACTIF,District Grand Centre
43574051,M,1990-07-30,3131,1,313,2024-01-03,010104    ,34.9678302532512,562,25-35,7.0,8.0,1.0,1188.6666666666667,726.4635801837098,1742.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43574051,M,1990-07-30,3131,1,313,2024-01-03,010104    ,34.9678302532512,562,25-35,7.0,8.0,1.0,1188.6666666666667,726.4635801837098,1742.0,1.0,2.0,0.0,0.0,2.0,PREMIUMS FIRST,ACTIF,District Nord Ouest
